wave,m1,m2,m3,m4,m5,m6,s1,s2,s3,s4,s5,s6,t1,t2,t3,t4,t5,t6,date
330,1.41,NA,2.63,3.07,2.36,2.55,NA,2.84,1.44,2.61,NA,2.48,2.24,2.01,2.19,1.23,2.45,NA,2016-05-03
340,1.34571428571429,NA,2.59142857142857,3.02285714285714,2.31714285714286,2.50428571428571,NA,2.81428571428571,1.40285714285714,2.57428571428571,NA,2.43571428571429,2.14714285714286,1.96285714285714,2.13142857142857,1.21714285714286,2.42714285714286,NA,2016-05-03
350,1.32333333333333,NA,2.54,3.035,2.28833333333333,2.48166666666667,NA,2.8,1.38833333333333,2.56333333333333,NA,2.40833333333333,2.075,1.88,2.08333333333333,1.21,2.44333333333333,NA,2016-05-03
360,1.31857142857143,NA,2.53,3.12428571428571,2.30142857142857,2.52142857142857,NA,2.84,1.41,2.58285714285714,NA,2.41285714285714,2.06,1.86857142857143,2.08714285714286,1.23285714285714,2.49857142857143,NA,2016-05-03
370,1.32428571428571,2.30142857142857,2.56,3.26285714285714,2.34428571428571,2.59,1.66428571428571,2.92285714285714,1.44571428571429,2.63571428571429,2.51142857142857,2.45428571428571,2.08571428571429,1.88142857142857,2.11571428571429,1.26714285714286,2.59285714285714,1.24,2016-05-03
380,1.34857142857143,2.37142857142857,2.59571428571429,3.43857142857143,2.41714285714286,2.69,1.71,3.02,1.5,2.71428571428571,2.57857142857143,2.50857142857143,2.12857142857143,1.91428571428571,2.16714285714286,1.31571428571429,2.72142857142857,1.27285714285714,2016-05-03
390,1.38166666666667,2.43,2.62333333333333,3.57833333333333,2.46833333333333,2.77666666666667,1.74666666666667,3.105,1.53833333333333,2.76666666666667,2.63333333333333,2.55166666666667,2.13666666666667,1.92333333333333,2.205,1.35833333333333,2.82666666666667,1.30333333333333,2016-05-03
400,1.4,2.47571428571429,2.64857142857143,3.69142857142857,2.50142857142857,2.84857142857143,1.77428571428571,3.16142857142857,1.57,2.80857142857143,2.67142857142857,2.58571428571429,2.13857142857143,1.92142857142857,2.24571428571429,1.38428571428571,2.92142857142857,1.33,2016-05-03
410,1.45714285714286,2.56571428571429,2.75571428571429,3.86714285714286,2.57142857142857,2.98285714285714,1.83,3.27142857142857,1.63285714285714,2.89428571428571,2.74142857142857,2.65714285714286,2.20714285714286,1.99285714285714,2.35285714285714,1.43285714285714,3.06714285714286,1.38571428571429,2016-05-03
420,1.53428571428571,2.69,2.94142857142857,4.1,2.67714285714286,3.15857142857143,1.91,3.43571428571429,1.72857142857143,3.02285714285714,2.83857142857143,2.76285714285714,2.32285714285714,2.11,2.50714285714286,1.5,3.24,1.46,2016-05-03
430,1.61428571428571,2.84285714285714,3.18,4.38285714285714,2.81428571428571,3.36285714285714,2,3.62142857142857,1.83428571428571,3.17285714285714,2.96,2.88571428571429,2.49142857142857,2.28285714285714,2.69285714285714,1.57714285714286,3.42571428571429,1.53285714285714,2016-05-03
440,1.69857142857143,2.99428571428571,3.41428571428571,4.66428571428571,2.95428571428571,3.57142857142857,2.09285714285714,3.81428571428571,1.94571428571429,3.32285714285714,3.08285714285714,3.01428571428571,2.69857142857143,2.48285714285714,2.88142857142857,1.66285714285714,3.60142857142857,1.61142857142857,2016-05-03
450,1.78857142857143,3.13857142857143,3.61285714285714,4.92142857142857,3.08571428571429,3.76714285714286,2.19714285714286,4.01142857142857,2.05714285714286,3.46714285714286,3.20571428571429,3.14142857142857,2.94285714285714,2.70428571428571,3.06714285714286,1.75714285714286,3.77142857142857,1.69,2016-05-03
460,1.85714285714286,3.25,3.73857142857143,5.13285714285714,3.18428571428571,3.93142857142857,2.27571428571429,4.17,2.14857142857143,3.57428571428571,3.31,3.24428571428571,3.13428571428571,2.87,3.20857142857143,1.84,3.90857142857143,1.75285714285714,2016-05-03
470,1.91428571428571,3.34142857142857,3.82,5.31142857142857,3.26571428571429,4.08,2.33714285714286,4.30714285714286,2.23142857142857,3.66428571428571,3.40285714285714,3.33285714285714,3.28,2.99428571428571,3.32571428571429,1.90571428571429,4.02285714285714,1.8,2016-05-03
480,1.97571428571429,3.44,3.89714285714286,5.47857142857143,3.35285714285714,4.22428571428571,2.40714285714286,4.44714285714286,2.31714285714286,3.76285714285714,3.49857142857143,3.42714285714286,3.42428571428571,3.11571428571429,3.43714285714286,1.97,4.14714285714286,1.86,2016-05-03
490,2.06571428571429,3.56428571428571,4.02142857142857,5.67428571428571,3.46285714285714,4.39142857142857,2.48714285714286,4.60428571428571,2.41285714285714,3.87285714285714,3.60428571428571,3.53428571428571,3.62428571428571,3.31142857142857,3.58714285714286,2.04857142857143,4.29714285714286,1.93857142857143,2016-05-03
500,2.2,3.73285714285714,4.25714285714286,5.91285714285714,3.61571428571429,4.59,2.59285714285714,4.80285714285714,2.52714285714286,4.03285714285714,3.73,3.66285714285714,3.96285714285714,3.64571428571429,3.81571428571429,2.15857142857143,4.51,2.05714285714286,2016-05-03
